"","db030","hsize","db040","rb030","age","rb090","pl030","pb220a","py010n","py050n","py090n","py100n","py110n","py120n","py130n","py140n","hy040n","hy050n","hy070n","hy080n","hy090n","hy110n","hy130n","hy145n","eqss","eqincome","db090","rb050"
"17",6,2,"Lower Austria",602,24,"male","1","AT",18626.12,0,0,0,0,0,0,0,0,0,0,0,260.32,0,0,0,1.5,21753.5333333333,515.101449275362,515.101449275362
"18",7,2,"Salzburg",701,47,"female","2","AT",24180.77,0,17764.96,0,0,0,0,0,0,0,0,1509.3,0,0,0,0,1.5,37668.16,614.686274509804,614.686274509804
"19",7,2,"Salzburg",702,45,"male","1","AT",13047.21,0,0,0,0,0,0,0,0,0,0,1509.3,0,0,0,0,1.5,37668.16,614.686274509804,614.686274509804
"20",8,3,"Carinthia",801,41,"female","1","AT",20193.54,0,0,0,0,0,0,0,0,1990.88,0,0,41.08,0,0,0,1.8,28651.5722222222,527.6,527.6
"21",8,3,"Carinthia",802,45,"male","1","AT",29347.33,0,0,0,0,0,0,0,0,1990.88,0,0,41.08,0,0,0,1.8,28651.5722222222,527.6,527.6
"22",8,3,"Carinthia",803,8,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1990.88,0,0,41.08,0,0,0,1.8,28651.5722222222,527.6,527.6
"23",9,2,"Upper Austria",901,57,"male","1","AT",14036.71,0,0,0,0,0,0,0,0,0,0,0,52.96,0,0,0,1.5,24420.6333333333,493.794392523365,493.794392523365
"24",9,2,"Upper Austria",902,54,"female","1","AT",22541.28,0,0,0,0,0,0,0,0,0,0,0,52.96,0,0,0,1.5,24420.6333333333,493.794392523365,493.794392523365
"25",10,1,"Lower Austria",1001,77,"female","5","AT",0,0,0,14806.47,0,0,0,0,0,0,0,0,35.01,0,0,-202,1,15043.48,655.064615384615,655.064615384615
"26",11,2,"Tyrol",1101,42,"female","2","Other",10871.64,0,0,0,0,0,0,0,0,0,0,0,358.18,0,0,0,1.5,23970.0733333333,567.154362416107,567.154362416107
"27",11,2,"Tyrol",1102,45,"male","1","AT",24725.29,0,0,0,0,0,0,0,0,0,0,0,358.18,0,0,0,1.5,23970.0733333333,567.154362416107,567.154362416107
"28",12,2,"Burgenland",1201,62,"male","5","EU",0,0,0,0,0,0,26991.3,0,0,0,0,0,1333.82,0,0,2667.64,1.5,17481.76,480.987804878049,480.987804878049
"29",12,2,"Burgenland",1202,23,"male","4","AT",565.16,0,0,0,0,0,0,0,0,0,0,0,1333.82,0,0,2667.64,1.5,17481.76,480.987804878049,480.987804878049
"30",13,1,"Lower Austria",1301,68,"male","5","AT",0,0,0,29034.49,0,0,0,0,0,0,0,0,36.52,0,0,-277.52,1,29348.53,655.064615384615,655.064615384615
"31",14,4,"Vorarlberg",1401,50,"male","1","AT",31023.53,0,0,0,0,0,0,0,0,4965.14,0,0,69.31,1946.37,0,0,2.1,20459.3,485.679245283019,485.679245283019
"32",14,4,"Vorarlberg",1402,48,"female","7","Other",0,0,4960.18,0,0,0,0,0,0,4965.14,0,0,69.31,1946.37,0,0,2.1,20459.3,485.679245283019,485.679245283019
"33",14,4,"Vorarlberg",1403,12,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4965.14,0,0,69.31,1946.37,0,0,2.1,20459.3,485.679245283019,485.679245283019
"34",14,4,"Vorarlberg",1404,11,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4965.14,0,0,69.31,1946.37,0,0,2.1,20459.3,485.679245283019,485.679245283019
"35",15,1,"Vienna",1501,38,"female","2","AT",22856.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22856.44,868.220417633411,868.220417633411
"36",16,5,"Lower Austria",1601,36,"male","1","AT",21483.64,0,0,0,0,0,0,0,0,0,0,0,1229.03,0,0,0,3,29197.5033333333,538.170731707317,538.170731707317
"37",16,5,"Lower Austria",1602,62,"male","5","AT",0,0,0,12306.53,0,0,0,0,0,0,0,0,1229.03,0,0,0,3,29197.5033333333,538.170731707317,538.170731707317
"38",16,5,"Lower Austria",1603,54,"female","5","AT",0,0,0,28217.72,0,0,0,0,0,0,0,0,1229.03,0,0,0,3,29197.5033333333,538.170731707317,538.170731707317
"39",16,5,"Lower Austria",1604,34,"male","3","AT",11315.57,0,0,0,0,0,0,0,0,0,0,0,1229.03,0,0,0,3,29197.5033333333,538.170731707317,538.170731707317
"40",16,5,"Lower Austria",1605,24,"male","4","AT",13040.02,0,0,0,0,0,0,0,0,0,0,0,1229.03,0,0,0,3,29197.5033333333,538.170731707317,538.170731707317
"41",17,3,"Styria",1701,44,"female","1","AT",0,0,11379.95,0,0,1991.49,0,0,0,9365.38,0,0,149.63,0,0,-445.91,2,14338.625,482.021390374332,482.021390374332
"42",17,3,"Styria",1702,44,"male","6","AT",0,0,0,5344.89,0,0,0,0,0,9365.38,0,0,149.63,0,0,-445.91,2,14338.625,482.021390374332,482.021390374332
"43",17,3,"Styria",1703,15,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9365.38,0,0,149.63,0,0,-445.91,2,14338.625,482.021390374332,482.021390374332
"44",18,1,"Vienna",1801,45,"male","3","AT",17111.63,0,0,0,0,0,0,0,0,0,0,0,360.41,0,0,0,1,17472.04,868.220417633411,868.220417633411
"45",19,3,"Carinthia",1901,48,"female","7","AT",0,0,0,0,0,0,0,0,0,1233.82,0,0,87.99,0,0,-157.12,2,15137.04,527.6,527.6
"46",19,3,"Carinthia",1902,22,"male","1","AT",16935.42,0,0,0,0,0,0,0,0,1233.82,0,0,87.99,0,0,-157.12,2,15137.04,527.6,527.6
"47",19,3,"Carinthia",1903,17,"female","1","AT",11859.73,0,0,0,0,0,0,0,0,1233.82,0,0,87.99,0,0,-157.12,2,15137.04,527.6,527.6
"48",20,3,"Upper Austria",2001,45,"female","2","AT",14060.13,0,0,0,0,0,0,0,0,0,0,0,174.06,0,0,348.12,2,41833.055,507.699507389163,507.699507389163
"49",20,3,"Upper Austria",2002,23,"male","1","AT",0,18756.72,0,0,0,0,0,0,0,0,0,0,174.06,0,0,348.12,2,41833.055,507.699507389163,507.699507389163
"50",20,3,"Upper Austria",2003,51,"male","1","EU",0,51023.32,0,0,0,0,0,0,0,0,0,0,174.06,0,0,348.12,2,41833.055,507.699507389163,507.699507389163
"51",21,1,"Upper Austria",2101,28,"male","1","AT",11181.86,0,1458.5,0,0,0,0,0,0,2369.64,0,1634.6,195.21,0,0,-2109.16,1,18948.97,643.25572519084,643.25572519084
"52",22,1,"Tyrol",2201,33,"male","1","EU",13151.45,7515.12,0,0,0,0,0,0,0,0,0,0,21.98,0,0,0,1,20688.55,679.728813559322,679.728813559322
"53",23,2,"Carinthia",2301,38,"female","2","AT",8896.44,0,0,0,0,0,0,0,0,2004.31,1554.5,3858.68,0.92,0,0,-321.56,1.3,12797.2384615385,535.793650793651,535.793650793651
"54",23,2,"Carinthia",2302,3,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2004.31,1554.5,3858.68,0.92,0,0,-321.56,1.3,12797.2384615385,535.793650793651,535.793650793651
"55",24,4,"Tyrol",2401,52,"male","1","AT",16609.88,0,0,0,0,0,0,0,0,0,1751.84,0,5.57,0,0,0,2.5,26471.172,493.382352941176,493.382352941176
"56",24,4,"Tyrol",2402,48,"female","1","AT",31261.21,0,0,0,0,0,0,0,0,0,1751.84,0,5.57,0,0,0,2.5,26471.172,493.382352941176,493.382352941176
"57",24,4,"Tyrol",2403,25,"male","4","AT",0,0,0,0,0,0,0,1916.14,0,0,1751.84,0,5.57,0,0,0,2.5,26471.172,493.382352941176,493.382352941176
"58",24,4,"Tyrol",2404,24,"male","1","AT",14633.29,0,0,0,0,0,0,0,0,0,1751.84,0,5.57,0,0,0,2.5,26471.172,493.382352941176,493.382352941176
"59",25,7,"Styria",2501,47,"female","2","AT",23269.8,10247.25,0,0,0,0,0,0,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"60",25,7,"Styria",2502,81,"female","7","AT",0,0,0,0,0,0,0,0,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"61",25,7,"Styria",2503,50,"male","1","AT",30741.99,0,0,0,0,0,0,0,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"62",25,7,"Styria",2504,23,"male","1","AT",18619.8,0,0,0,0,0,0,0,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"63",25,7,"Styria",2505,22,"female","7","AT",0,0,0,0,0,0,0,0,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"64",25,7,"Styria",2506,17,"male","1","AT",6120.45,0,0,0,0,0,0,0,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"65",25,7,"Styria",2507,9,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5101.03,4654.61,0,0,0,0,0,0,3.8,25988.1394736842,426.833333333333,426.833333333333
"66",26,1,"Carinthia",2601,54,"female","5","AT",0,0,0,9889.28,0,0,0,0,0,0,0,0,705.02,0,0,0,1,10594.3,630.786324786325,630.786324786325
"67",27,3,"Styria",2701,45,"male","1","AT",18363.91,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,-10.83,1.8,17900.1611111111,482.021390374332,482.021390374332
"68",27,3,"Styria",2702,39,"female","2","AT",13843.65,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,-10.83,1.8,17900.1611111111,482.021390374332,482.021390374332
"69",27,3,"Styria",2703,10,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.9,0,0,-10.83,1.8,17900.1611111111,482.021390374332,482.021390374332
"70",28,4,"Lower Austria",2801,43,"male","1","AT",33730.76,0,0,0,0,0,0,0,84308.62,3193.19,0,5708.4,0,0,0,936.76,2.5,55249.536,556.426035502959,556.426035502959
"71",28,4,"Lower Austria",2802,42,"female","1","Other",8713.43,0,2212.93,0,0,0,0,0,84308.62,3193.19,0,5708.4,0,0,0,936.76,2.5,55249.536,556.426035502959,556.426035502959
"72",28,4,"Lower Austria",2803,20,"male","4","AT",0,1193.27,0,0,0,0,0,0,84308.62,3193.19,0,5708.4,0,0,0,936.76,2.5,55249.536,556.426035502959,556.426035502959
"73",28,4,"Lower Austria",2804,15,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84308.62,3193.19,0,5708.4,0,0,0,936.76,2.5,55249.536,556.426035502959,556.426035502959
"74",29,2,"Lower Austria",2901,55,"male","1","AT",0,7092.49,0,0,0,0,0,0,0,0,0,0,23.74,0,0,-1282.09,1.5,25131.5866666667,515.101449275362,515.101449275362
"75",29,2,"Lower Austria",2902,43,"female","1","AT",29299.06,0,0,0,0,0,0,0,0,0,0,0,23.74,0,0,-1282.09,1.5,25131.5866666667,515.101449275362,515.101449275362
"76",30,3,"Salzburg",3001,34,"female","7","AT",0,0,0,0,0,0,0,0,0,8790.01,0,0,167.23,0,0,-356.46,1.8,14774.0833333333,554.763636363636,554.763636363636
"77",30,3,"Salzburg",3002,35,"male","1","AT",17279.65,0,0,0,0,0,0,0,0,8790.01,0,0,167.23,0,0,-356.46,1.8,14774.0833333333,554.763636363636,554.763636363636
"78",30,3,"Salzburg",3003,9,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8790.01,0,0,167.23,0,0,-356.46,1.8,14774.0833333333,554.763636363636,554.763636363636
"79",31,1,"Carinthia",3101,73,"female","5","AT",0,0,0,15003.85,0,0,0,0,0,0,0,0,98.28,0,0,-595.65,1,15697.78,630.786324786325,630.786324786325
"80",32,2,"Vienna",3201,66,"female","5","AT",0,0,0,7489.36,0,0,0,0,0,0,0,0,7235.4,0,0,-407.46,1.5,21540.3866666667,651.867605633803,651.867605633803
"81",32,2,"Vienna",3202,66,"male","5","AT",0,0,0,17178.36,0,0,0,0,0,0,0,0,7235.4,0,0,-407.46,1.5,21540.3866666667,651.867605633803,651.867605633803
"82",33,2,"Upper Austria",3301,44,"female","2","AT",4405.42,0,0,0,0,0,0,0,0,4655.04,0,0,0,0,0,0,1.5,7604.00666666667,493.794392523365,493.794392523365
"83",33,2,"Upper Austria",3302,17,"male","1","AT",2345.55,0,0,0,0,0,0,0,0,4655.04,0,0,0,0,0,0,1.5,7604.00666666667,493.794392523365,493.794392523365
"84",34,3,"Upper Austria",3401,35,"male","1","Other",15891.04,0,0,0,0,0,0,0,0,1536.12,0,0,0,0,0,0,1.8,12879.3777777778,507.699507389163,507.699507389163
"85",34,3,"Upper Austria",3402,33,"female","1","AT",5755.72,0,0,0,0,0,0,0,0,1536.12,0,0,0,0,0,0,1.8,12879.3777777778,507.699507389163,507.699507389163
"86",34,3,"Upper Austria",3403,11,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1536.12,0,0,0,0,0,0,1.8,12879.3777777778,507.699507389163,507.699507389163
"87",35,3,"Lower Austria",3501,22,"male","1","AT",19420.79,0,0,0,0,0,0,0,0,0,0,0,186.31,0,0,-558.93,2,24398.555,574.058201058201,574.058201058201
"88",35,3,"Lower Austria",3502,53,"male","5","AT",0,0,0,14305.86,0,0,0,0,0,0,0,0,186.31,0,0,-558.93,2,24398.555,574.058201058201,574.058201058201
"89",35,3,"Lower Austria",3503,47,"female","1","AT",14325.22,0,0,0,0,0,0,0,0,0,0,0,186.31,0,0,-558.93,2,24398.555,574.058201058201,574.058201058201
"90",36,2,"Upper Austria",3601,81,"male","5","AT",0,0,0,16584.94,0,0,0,0,0,0,0,0,184.69,0,0,0,1.5,17290.3066666667,493.794392523365,493.794392523365
"91",36,2,"Upper Austria",3602,77,"female","5","AT",0,0,0,9165.83,0,0,0,0,0,0,0,0,184.69,0,0,0,1.5,17290.3066666667,493.794392523365,493.794392523365
"92",37,4,"Vienna",3701,35,"female","7","AT",0,0,0,0,0,0,0,0,0,4385.27,0,0,156.73,679.62,0,0,2.1,11045.5142857143,666.979166666667,666.979166666667
"93",37,4,"Vienna",3702,38,"male","1","AT",17973.96,0,0,0,0,0,0,0,0,4385.27,0,0,156.73,679.62,0,0,2.1,11045.5142857143,666.979166666667,666.979166666667
"94",37,4,"Vienna",3703,7,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4385.27,0,0,156.73,679.62,0,0,2.1,11045.5142857143,666.979166666667,666.979166666667
"95",37,4,"Vienna",3704,2,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4385.27,0,0,156.73,679.62,0,0,2.1,11045.5142857143,666.979166666667,666.979166666667
"96",38,1,"Burgenland",3801,26,"female","1","AT",0,9076.46,0,0,0,0,0,0,0,0,0,0,80.51,0,0,0,1,9156.97,521.051724137931,521.051724137931
"97",39,2,"Tyrol",3901,62,"male","1","AT",29657.34,0,0,0,0,0,0,0,0,0,0,13269,49.32,0,0,42.33,1.5,40152.38,567.154362416107,567.154362416107
"98",39,2,"Tyrol",3902,69,"female","5","AT",0,0,0,17295.24,0,0,0,0,0,0,0,13269,49.32,0,0,42.33,1.5,40152.38,567.154362416107,567.154362416107
"99",40,2,"Styria",4001,31,"male","6","EU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,536.892307692308,536.892307692308
"100",40,2,"Styria",4002,79,"female","7","AT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,536.892307692308,536.892307692308
"101",41,1,"Styria",4101,29,"female","1","AT",17727.21,0,0,0,0,0,0,0,0,0,669.04,0,37.17,0,0,0,1,18433.42,616.340909090909,616.340909090909
"102",42,2,"Salzburg",4201,41,"female","2","Other",11927.67,0,0,0,0,0,0,0,0,6528.95,0,0,0,0,9981.9,-587.17,1.3,6970.68461538461,614.686274509804,614.686274509804
"103",42,2,"Salzburg",4202,9,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6528.95,0,0,0,0,9981.9,-587.17,1.3,6970.68461538461,614.686274509804,614.686274509804
"104",43,3,"Lower Austria",4301,60,"male","5","AT",0,0,0,12773.52,0,0,0,0,0,0,0,0,311.42,0,0,0,2,22312.525,574.058201058201,574.058201058201
"105",43,3,"Lower Austria",4302,56,"female","1","AT",17664.5,0,0,0,0,0,0,0,0,0,0,0,311.42,0,0,0,2,22312.525,574.058201058201,574.058201058201
"106",43,3,"Lower Austria",4303,39,"male","1","AT",13875.61,0,0,0,0,0,0,0,0,0,0,0,311.42,0,0,0,2,22312.525,574.058201058201,574.058201058201
"107",44,4,"Vorarlberg",4401,35,"male","1","AT",17221.48,0,0,0,0,0,0,0,0,5831.48,0,0,122.1,0,2441.99,0,2.1,18617.1619047619,485.679245283019,485.679245283019
"108",44,4,"Vorarlberg",4402,35,"female","1","Other",18362.97,0,0,0,0,0,0,0,0,5831.48,0,0,122.1,0,2441.99,0,2.1,18617.1619047619,485.679245283019,485.679245283019
"109",44,4,"Vorarlberg",4403,12,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5831.48,0,0,122.1,0,2441.99,0,2.1,18617.1619047619,485.679245283019,485.679245283019
"110",44,4,"Vorarlberg",4404,9,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5831.48,0,0,122.1,0,2441.99,0,2.1,18617.1619047619,485.679245283019,485.679245283019
"111",45,4,"Tyrol",4501,37,"male","1","AT",28994.68,0,0,0,0,0,0,0,0,4686.44,0,0,440.49,0,0,-524.39,2.3,17278.8913043478,493.382352941176,493.382352941176
"112",45,4,"Tyrol",4502,39,"female","7","AT",0,0,0,0,0,0,0,0,0,4686.44,0,0,440.49,0,0,-524.39,2.3,17278.8913043478,493.382352941176,493.382352941176
"113",45,4,"Tyrol",4503,18,"female","1","EU",5095.45,0,0,0,0,0,0,0,0,4686.44,0,0,440.49,0,0,-524.39,2.3,17278.8913043478,493.382352941176,493.382352941176
"114",45,4,"Tyrol",4504,3,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4686.44,0,0,440.49,0,0,-524.39,2.3,17278.8913043478,493.382352941176,493.382352941176
"115",46,2,"Lower Austria",4601,73,"male","5","AT",0,0,0,14415.88,0,0,0,0,0,0,0,0,159.98,0,0,0,1.5,14733.5266666667,515.101449275362,515.101449275362
"116",46,2,"Lower Austria",4602,71,"female","5","AT",0,0,0,7524.43,0,0,0,0,0,0,0,0,159.98,0,0,0,1.5,14733.5266666667,515.101449275362,515.101449275362
"117",47,1,"Lower Austria",4701,32,"female","1","AT",23960.24,0,0,0,0,0,0,0,0,0,0,0,153.04,0,0,0,1,24113.28,655.064615384615,655.064615384615
"118",48,1,"Vienna",4801,78,"female","5","AT",0,0,0,11251.32,0,0,0,0,0,0,0,0,153.59,0,0,0,1,11404.91,868.220417633411,868.220417633411
"119",49,2,"Tyrol",4901,51,"male","5","AT",0,0,0,13329.04,0,0,0,0,0,0,0,0,0,0,0,0,1.5,20001.8266666667,567.154362416107,567.154362416107
"120",49,2,"Tyrol",4902,80,"female","5","AT",0,0,0,16673.7,0,0,0,0,0,0,0,0,0,0,0,0,1.5,20001.8266666667,567.154362416107,567.154362416107
"121",50,5,"Tyrol",5001,49,"female","1","AT",8046.37,352.75,0,0,0,0,0,0,0,2107.5,0,0,0,0,0,-1203.22,2.8,28656.5964285714,475.297297297297,475.297297297297
"122",50,5,"Tyrol",5002,22,"male","1","AT",22190.97,0,0,0,0,0,0,0,0,2107.5,0,0,0,0,0,-1203.22,2.8,28656.5964285714,475.297297297297,475.297297297297
"123",50,5,"Tyrol",5003,27,"male","1","AT",0,31927.85,0,0,0,0,0,0,0,2107.5,0,0,0,0,0,-1203.22,2.8,28656.5964285714,475.297297297297,475.297297297297
"124",50,5,"Tyrol",5004,54,"male","5","AT",0,0,0,14409.81,0,0,0,0,0,2107.5,0,0,0,0,0,-1203.22,2.8,28656.5964285714,475.297297297297,475.297297297297
"125",50,5,"Tyrol",5005,11,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2107.5,0,0,0,0,0,-1203.22,2.8,28656.5964285714,475.297297297297,475.297297297297
"126",51,3,"Upper Austria",5101,54,"female","5","AT",0,0,0,9779.88,0,0,0,0,43982.04,0,0,0,0,0,0,-542.99,2,27152.455,507.699507389163,507.699507389163
"127",51,3,"Upper Austria",5102,29,"female","7","AT",0,0,0,0,0,0,0,0,43982.04,0,0,0,0,0,0,-542.99,2,27152.455,507.699507389163,507.699507389163
"128",51,3,"Upper Austria",5103,25,"female","7","AT",0,0,0,0,0,0,0,0,43982.04,0,0,0,0,0,0,-542.99,2,27152.455,507.699507389163,507.699507389163
"129",52,4,"Upper Austria",5201,33,"female","7","AT",0,0,0,0,0,0,0,0,0,4608.73,0,0,108.29,0,0,0,2.3,14904.2565217391,492.875,492.875
"130",52,4,"Upper Austria",5202,57,"male","1","AT",0,19240.88,0,0,0,0,0,0,0,4608.73,0,0,108.29,0,0,0,2.3,14904.2565217391,492.875,492.875
"131",52,4,"Upper Austria",5203,18,"female","4","AT",10321.89,0,0,0,0,0,0,0,0,4608.73,0,0,108.29,0,0,0,2.3,14904.2565217391,492.875,492.875
"132",52,4,"Upper Austria",5204,13,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4608.73,0,0,108.29,0,0,0,2.3,14904.2565217391,492.875,492.875
"133",53,1,"Vienna",5301,48,"male","1","EU",28893.6,0,0,0,0,0,0,0,0,0,0,0,277.57,0,0,-138.79,1,29309.96,868.220417633411,868.220417633411
"134",54,2,"Lower Austria",5401,43,"male","1","AT",14109.92,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,1.5,28478.4066666667,515.101449275362,515.101449275362
"135",54,2,"Lower Austria",5402,43,"female","1","AT",0,28404.69,0,0,0,0,0,0,0,0,0,0,203,0,0,0,1.5,28478.4066666667,515.101449275362,515.101449275362
"136",55,2,"Upper Austria",5501,80,"female","5","AT",0,0,0,5373.81,0,0,0,0,0,0,0,0,179.88,0,0,0,1.5,16181.78,493.794392523365,493.794392523365
"137",55,2,"Upper Austria",5502,78,"male","5","AT",0,0,0,18718.98,0,0,0,0,0,0,0,0,179.88,0,0,0,1.5,16181.78,493.794392523365,493.794392523365
"138",56,1,"Carinthia",5601,56,"female","5","AT",0,284.38,0,5223.51,0,0,0,0,0,3917.84,0,0,0,0,0,-368.82,1,9794.55,630.786324786325,630.786324786325
"139",57,2,"Carinthia",5701,87,"male","5","AT",0,1092.06,0,33198.23,0,0,0,0,0,0,0,0,0,0,0,-647.88,1.5,32160.5,535.793650793651,535.793650793651
"140",57,2,"Carinthia",5702,86,"female","5","AT",0,0,0,13302.58,0,0,0,0,0,0,0,0,0,0,0,-647.88,1.5,32160.5,535.793650793651,535.793650793651
"141",58,7,"Salzburg",5801,53,"female","1","AT",23728.15,0,0,0,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"142",58,7,"Salzburg",5802,63,"male","5","AT",0,0,0,24577.88,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"143",58,7,"Salzburg",5803,26,"male","1","AT",28106.14,0,0,0,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"144",58,7,"Salzburg",5804,25,"male","1","AT",17489.39,0,0,0,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"145",58,7,"Salzburg",5805,23,"female","1","AT",17226.55,0,0,0,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"146",58,7,"Salzburg",5806,22,"female","1","AT",16222.43,0,0,0,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"147",58,7,"Salzburg",5807,18,"female","1","AT",0,0,7504,0,0,0,0,0,0,9172.19,0,0,54.07,0,0,-1176.87,4,36314.4175,478.5,478.5
"148",59,2,"Burgenland",5901,49,"female","2","AT",5394.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.26,1.5,27386.18,480.987804878049,480.987804878049
"149",59,2,"Burgenland",5902,51,"male","1","AT",35856.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.26,1.5,27386.18,480.987804878049,480.987804878049
"150",60,4,"Tyrol",6001,52,"female","7","AT",0,0,0,0,0,0,0,0,0,1858.64,0,0,1023.2,0,0,0,2.5,9283.348,493.382352941176,493.382352941176
